episode,learning_rate_0.1,learning_rate_0.01,learning_rate_0.001
184,27407.913544189945,30408.913544189945,19700.913544189945
185,20102.913544189945,30630.913544189945,18047.913544189945
186,27576.913544189945,29641.913544189945,17533.913544189945
187,21334.913544189945,19904.913544189945,22400.913544189945
188,28280.913544189945,31700.913544189945,19814.913544189945
189,20862.913544189945,32935.91354418994,20350.913544189945
190,24623.913544189945,30510.913544189945,23284.913544189945
191,27227.913544189945,27866.913544189945,26330.913544189945
192,25036.913544189945,28722.913544189945,26356.913544189945
193,24468.913544189945,27407.913544189945,20871.913544189945
194,25392.913544189945,31722.913544189945,20902.913544189945
195,19943.913544189945,28830.913544189945,19345.913544189945
196,23439.913544189945,21576.913544189945,21832.913544189945
197,23583.913544189945,19244.913544189945,24735.913544189945
198,23667.913544189945,27843.913544189945,20768.913544189945
199,24573.913544189945,27823.913544189945,23473.913544189945
200,26611.913544189945,19845.913544189945,21105.913544189945
201,22562.913544189945,25466.913544189945,27146.913544189945
202,17716.913544189945,27124.913544189945,19994.913544189945
203,26756.913544189945,29842.913544189945,20011.913544189945
204,20425.913544189945,27149.913544189945,21705.913544189945
205,24859.913544189945,31614.913544189945,17097.913544189945
206,24218.913544189945,27995.913544189945,24011.913544189945
207,24420.913544189945,23265.913544189945,19066.913544189945
208,24820.913544189945,28467.913544189945,21007.913544189945
209,24785.913544189945,28183.913544189945,23769.913544189945
210,24569.913544189945,29918.913544189945,22868.913544189945
211,18827.913544189945,23254.913544189945,24650.913544189945
212,24108.913544189945,30588.913544189945,23715.913544189945
213,20339.913544189945,22616.913544189945,14228.913544189945
214,21390.913544189945,22185.913544189945,24940.913544189945
215,25647.913544189945,24765.913544189945,22248.913544189945
216,21802.913544189945,27856.913544189945,21829.913544189945
217,28274.913544189945,32832.91354418994,21105.913544189945
218,27878.913544189945,34201.91354418994,23473.913544189945
219,24141.913544189945,32353.913544189945,16284.913544189945
220,25647.913544189945,31659.913544189945,18242.913544189945
221,26829.913544189945,30619.913544189945,21616.913544189945
222,25375.913544189945,31923.913544189945,22554.913544189945
223,22050.913544189945,30729.913544189945,19372.913544189945
224,22469.913544189945,23003.913544189945,21940.913544189945
225,25101.913544189945,26063.913544189945,17456.913544189945
226,25845.913544189945,30462.913544189945,17563.913544189945
227,26553.913544189945,24865.913544189945,22162.913544189945
228,28704.913544189945,26178.913544189945,19612.913544189945
229,23543.913544189945,19884.913544189945,20224.913544189945
230,23761.913544189945,27485.913544189945,18060.913544189945
231,16921.913544189945,31369.913544189945,25100.913544189945
232,26799.913544189945,27297.913544189945,18838.913544189945
233,23399.913544189945,29068.913544189945,24568.913544189945
234,23511.913544189945,27065.913544189945,16347.913544189945
235,25074.913544189945,29466.913544189945,23758.913544189945
236,21447.913544189945,26703.913544189945,20374.913544189945
237,20573.913544189945,21028.913544189945,19278.913544189945
238,22968.913544189945,23646.913544189945,21148.913544189945
239,15827.913544189945,19691.913544189945,22767.913544189945
240,25017.913544189945,25542.913544189945,17042.913544189945
241,21147.913544189945,27527.913544189945,25592.913544189945
242,23415.913544189945,33217.91354418994,22108.913544189945
243,23747.913544189945,26660.913544189945,26691.913544189945
244,24089.913544189945,30579.913544189945,20674.913544189945
245,22831.913544189945,31090.913544189945,15174.913544189945
246,24684.913544189945,29119.913544189945,23114.913544189945
247,20055.913544189945,33380.91354418994,20936.913544189945
248,27261.913544189945,30077.913544189945,21146.913544189945
249,14324.913544189945,28008.913544189945,23968.913544189945
250,27976.913544189945,27769.913544189945,17847.913544189945
251,30418.913544189945,27616.913544189945,16814.913544189945
252,23479.913544189945,29090.913544189945,19530.913544189945
253,20480.913544189945,27087.913544189945,19895.913544189945
254,22454.913544189945,26064.913544189945,22354.913544189945
255,24334.913544189945,25992.913544189945,16774.913544189945
256,22479.913544189945,24976.913544189945,22535.913544189945
257,30239.913544189945,30878.913544189945,25890.913544189945
258,25013.913544189945,32596.913544189945,22907.913544189945
259,27854.913544189945,25413.913544189945,26583.913544189945
260,25830.913544189945,25891.913544189945,26732.913544189945
261,22819.913544189945,21339.913544189945,20483.913544189945
262,20480.913544189945,26961.913544189945,19913.913544189945
263,22076.913544189945,27114.913544189945,27294.913544189945
264,21283.913544189945,24101.913544189945,19427.913544189945
265,20642.913544189945,33131.91354418994,20524.913544189945
266,26844.913544189945,31190.913544189945,21880.913544189945
267,25401.913544189945,20184.913544189945,22012.913544189945
268,24131.913544189945,25091.913544189945,15974.913544189945
269,21966.913544189945,31615.913544189945,19775.913544189945
270,20874.913544189945,32286.913544189945,18808.913544189945
271,19131.913544189945,31148.913544189945,22866.913544189945
272,25859.913544189945,23443.913544189945,18106.913544189945
273,25076.913544189945,29030.913544189945,18915.913544189945
274,18469.913544189945,26753.913544189945,17323.913544189945
275,21369.913544189945,27236.913544189945,18587.913544189945
276,18639.913544189945,18414.913544189945,28104.913544189945
277,24477.913544189945,24487.913544189945,15451.913544189945
278,27434.913544189945,29150.913544189945,21788.913544189945
279,18494.913544189945,31117.913544189945,20952.913544189945
280,22843.913544189945,30269.913544189945,19169.913544189945
281,29027.913544189945,26245.913544189945,24217.913544189945
282,24244.913544189945,29955.913544189945,21209.913544189945
283,20494.913544189945,24097.913544189945,19938.913544189945
284,23770.913544189945,24333.913544189945,17619.913544189945
285,28474.913544189945,26583.913544189945,22786.913544189945
286,28364.913544189945,25278.913544189945,17047.913544189945
287,24898.913544189945,20214.913544189945,21025.913544189945
288,21088.913544189945,36670.91354418994,18714.913544189945
289,25759.913544189945,24429.913544189945,20932.913544189945
290,20097.913544189945,31609.913544189945,20527.913544189945
291,22534.913544189945,34487.91354418994,17870.913544189945
292,25485.913544189945,29627.913544189945,20965.913544189945
293,20479.913544189945,30595.913544189945,21335.913544189945
294,22297.913544189945,29042.913544189945,23365.913544189945
295,20923.913544189945,28814.913544189945,26463.913544189945
296,20990.913544189945,24378.913544189945,24959.913544189945
297,22156.913544189945,21574.913544189945,21597.913544189945
298,25412.913544189945,31931.913544189945,18080.913544189945
299,21471.913544189945,35226.91354418994,24523.913544189945
300,22919.913544189945,23828.913544189945,16828.913544189945
